submission_year,main_categories,count,total,proportion
2004,nucl-ex,7,263,0.026615969581749048
2004,nucl-th,7,263,0.026615969581749048
2004,physics,18,263,0.06844106463878327
2004,q-bio,2,263,0.0076045627376425855
2004,quant-ph,10,263,0.03802281368821293
2005,astro-ph,39,240,0.1625
2005,cond-mat,45,240,0.1875
2005,cs,15,240,0.0625
2005,gr-qc,9,240,0.0375
2005,hep-ex,5,240,0.020833333333333332
2005,hep-lat,3,240,0.0125
2005,hep-ph,16,240,0.06666666666666667
2005,hep-th,12,240,0.05
2005,math,43,240,0.17916666666666667
2005,math-ph,8,240,0.03333333333333333
2005,nlin,2,240,0.008333333333333333
2005,nucl-ex,4,240,0.016666666666666666
2005,nucl-th,6,240,0.025
2005,physics,21,240,0.0875
2005,q-bio,2,240,0.008333333333333333
2005,q-fin,1,240,0.004166666666666667
2005,quant-ph,9,240,0.0375
2006,astro-ph,31,260,0.11923076923076924
2006,cond-mat,52,260,0.2
2006,cs,9,260,0.03461538461538462
2006,gr-qc,11,260,0.04230769230769231
2006,hep-ex,4,260,0.015384615384615385
2006,hep-lat,1,260,0.0038461538461538464
2006,hep-ph,15,260,0.057692307692307696
2006,hep-th,20,260,0.07692307692307693
2006,math,49,260,0.18846153846153846
2006,math-ph,6,260,0.023076923076923078
2006,nlin,7,260,0.026923076923076925
2006,nucl-ex,2,260,0.007692307692307693
2006,nucl-th,11,260,0.04230769230769231
2006,physics,21,260,0.08076923076923077
2006,q-bio,8,260,0.03076923076923077
2006,quant-ph,12,260,0.046153846153846156
2006,stat,1,260,0.0038461538461538464
2007,astro-ph,36,260,0.13846153846153847
2007,cond-mat,45,260,0.17307692307692307
2007,cs,8,260,0.03076923076923077
2007,gr-qc,10,260,0.038461538461538464
2007,hep-ex,6,260,0.023076923076923078
2007,hep-lat,2,260,0.007692307692307693
2007,hep-ph,18,260,0.06923076923076923
2007,hep-th,12,260,0.046153846153846156
2007,math,58,260,0.2230769230769231
2007,math-ph,8,260,0.03076923076923077
2007,nlin,6,260,0.023076923076923078
2007,nucl-ex,1,260,0.0038461538461538464
2007,nucl-th,5,260,0.019230769230769232
2007,physics,23,260,0.08846153846153847
2007,q-bio,3,260,0.011538461538461539
2007,q-fin,1,260,0.0038461538461538464
2007,quant-ph,16,260,0.06153846153846154
2007,stat,2,260,0.007692307692307693
2008,astro-ph,29,256,0.11328125
2008,cond-mat,37,256,0.14453125
2008,cs,11,256,0.04296875
2008,gr-qc,9,256,0.03515625
2008,hep-ex,5,256,0.01953125
2008,hep-lat,1,256,0.00390625
2008,hep-ph,13,256,0.05078125
2008,hep-th,17,256,0.06640625
2008,math,61,256,0.23828125
2008,math-ph,6,256,0.0234375
2008,nlin,9,256,0.03515625
2008,nucl-ex,4,256,0.015625
2008,nucl-th,7,256,0.02734375
2008,physics,28,256,0.109375
2008,q-bio,3,256,0.01171875
2008,q-fin,2,256,0.0078125
2008,quant-ph,11,256,0.04296875
2008,stat,3,256,0.01171875
2009,astro-ph,40,313,0.12779552715654952
2009,cond-mat,53,313,0.16932907348242812
2009,cs,13,313,0.04153354632587859
2009,gr-qc,11,313,0.03514376996805112
2009,hep-ex,6,313,0.019169329073482427
2009,hep-lat,4,313,0.012779552715654952
2009,hep-ph,19,313,0.06070287539936102
2009,hep-th,19,313,0.06070287539936102
2009,math,82,313,0.26198083067092653
2009,math-ph,9,313,0.02875399361022364
2009,nlin,2,313,0.006389776357827476
2009,nucl-ex,1,313,0.003194888178913738
2009,nucl-th,4,313,0.012779552715654952
2009,physics,28,313,0.08945686900958466
2009,q-bio,1,313,0.003194888178913738
2009,q-fin,4,313,0.012779552715654952
2009,quant-ph,12,313,0.038338658146964855
2009,stat,5,313,0.01597444089456869
2010,astro-ph,65,458,0.14192139737991266
2010,cond-mat,59,458,0.12882096069868995
2010,cs,36,458,0.07860262008733625
2010,gr-qc,21,458,0.04585152838427948
2010,hep-ex,11,458,0.024017467248908297
2010,hep-lat,5,458,0.010917030567685589
2010,hep-ph,18,458,0.039301310043668124
2010,hep-th,22,458,0.048034934497816595
2010,math,114,458,0.24890829694323144
2010,math-ph,18,458,0.039301310043668124
2010,nlin,7,458,0.015283842794759825
2010,nucl-ex,12,458,0.026200873362445413
2010,nucl-th,8,458,0.017467248908296942
2010,physics,30,458,0.06550218340611354
2010,q-bio,3,458,0.006550218340611353
2010,q-fin,2,458,0.004366812227074236
2010,quant-ph,22,458,0.048034934497816595
2010,stat,5,458,0.010917030567685589
2011,astro-ph,58,410,0.14146341463414633
2011,cond-mat,50,410,0.12195121951219512
2011,cs,30,410,0.07317073170731707
2011,gr-qc,16,410,0.03902439024390244
2011,hep-ex,6,410,0.014634146341463415
2011,hep-lat,2,410,0.004878048780487805
2011,hep-ph,19,410,0.046341463414634146
2011,hep-th,20,410,0.04878048780487805
2011,math,105,410,0.25609756097560976
2011,math-ph,16,410,0.03902439024390244
2011,nlin,5,410,0.012195121951219513
2011,nucl-ex,5,410,0.012195121951219513
2011,nucl-th,7,410,0.01707317073170732
2011,physics,37,410,0.09024390243902439
2011,q-bio,3,410,0.007317073170731708
2011,q-fin,3,410,0.007317073170731708
2011,quant-ph,16,410,0.03902439024390244
2011,stat,12,410,0.02926829268292683
2012,astro-ph,67,546,0.1227106227106227
2012,cond-mat,84,546,0.15384615384615385
2012,cs,72,546,0.13186813186813187
2012,gr-qc,18,546,0.03296703296703297
2012,hep-ex,7,546,0.01282051282051282
2012,hep-lat,5,546,0.009157509157509158
2012,hep-ph,22,546,0.040293040293040296
2012,hep-th,23,546,0.04212454212454213
2012,math,126,546,0.23076923076923078
2012,math-ph,17,546,0.031135531135531136
2012,nlin,5,546,0.009157509157509158
2012,nucl-ex,5,546,0.009157509157509158
2012,nucl-th,7,546,0.01282051282051282
2012,physics,50,546,0.09157509157509157
2012,q-bio,5,546,0.009157509157509158
2012,q-fin,2,546,0.003663003663003663
2012,quant-ph,16,546,0.029304029304029304
2012,stat,15,546,0.027472527472527472
2013,astro-ph,61,528,0.11553030303030302
2013,cond-mat,57,528,0.10795454545454546
2013,cs,77,528,0.14583333333333334
2013,gr-qc,11,528,0.020833333333333332
2013,hep-ex,13,528,0.02462121212121212
2013,hep-lat,3,528,0.005681818181818182
2013,hep-ph,28,528,0.05303030303030303
2013,hep-th,24,528,0.045454545454545456
2013,math,144,528,0.2727272727272727
2013,math-ph,13,528,0.02462121212121212
2013,nlin,6,528,0.011363636363636364
2013,nucl-ex,4,528,0.007575757575757576
2013,nucl-th,9,528,0.017045454545454544
2013,physics,35,528,0.06628787878787878
2013,q-bio,7,528,0.013257575757575758
2013,q-fin,2,528,0.003787878787878788
2013,quant-ph,21,528,0.03977272727272727
2013,stat,13,528,0.02462121212121212
2014,astro-ph,59,584,0.10102739726027397
2014,cond-mat,67,584,0.11472602739726027
2014,cs,64,584,0.1095890410958904
2014,gr-qc,19,584,0.032534246575342464
2014,hep-ex,7,584,0.011986301369863013
2014,hep-lat,3,584,0.005136986301369863
2014,hep-ph,23,584,0.039383561643835614
2014,hep-th,24,584,0.0410958904109589
2014,math,170,584,0.2910958904109589
2014,math-ph,19,584,0.032534246575342464
2014,nlin,16,584,0.0273972602739726
2014,nucl-ex,2,584,0.003424657534246575
2014,nucl-th,3,584,0.005136986301369863
2014,physics,55,584,0.09417808219178082
2014,q-bio,4,584,0.00684931506849315
2014,q-fin,2,584,0.003424657534246575
2014,quant-ph,26,584,0.04452054794520548
2014,stat,21,584,0.03595890410958904
2015,astro-ph,63,636,0.09905660377358491
2015,cond-mat,96,636,0.1509433962264151
2015,cs,70,636,0.11006289308176101
2015,gr-qc,16,636,0.025157232704402517
2015,hep-ex,11,636,0.01729559748427673
2015,hep-lat,3,636,0.0047169811320754715
2015,hep-ph,28,636,0.0440251572327044
2015,hep-th,25,636,0.03930817610062893
2015,math,160,636,0.25157232704402516
2015,math-ph,13,636,0.020440251572327043
2015,nlin,4,636,0.006289308176100629
2015,nucl-ex,8,636,0.012578616352201259
2015,nucl-th,11,636,0.01729559748427673
2015,physics,62,636,0.09748427672955975
2015,q-bio,5,636,0.007861635220125786
2015,q-fin,6,636,0.009433962264150943
2015,quant-ph,31,636,0.04874213836477988
2015,stat,24,636,0.03773584905660377
2016,astro-ph,84,636,0.1320754716981132
2016,cond-mat,59,636,0.09276729559748427
2016,cs,101,636,0.15880503144654087
2016,gr-qc,25,636,0.03930817610062893
2016,hep-ex,10,636,0.015723270440251572
2016,hep-lat,4,636,0.006289308176100629
2016,hep-ph,26,636,0.040880503144654086
2016,hep-th,26,636,0.040880503144654086
2016,math,164,636,0.2578616352201258
2016,math-ph,14,636,0.0220125786163522
2016,nlin,3,636,0.0047169811320754715
2016,nucl-ex,5,636,0.007861635220125786
2016,nucl-th,9,636,0.014150943396226415
2016,physics,45,636,0.07075471698113207
2016,q-bio,15,636,0.02358490566037736
2016,q-fin,3,636,0.0047169811320754715
2016,quant-ph,26,636,0.040880503144654086
2016,stat,17,636,0.026729559748427674
2017,astro-ph,60,632,0.0949367088607595
2017,cond-mat,70,632,0.11075949367088607
2017,cs,146,632,0.2310126582278481
2017,eess,3,632,0.004746835443037975
2017,gr-qc,9,632,0.014240506329113924
2017,hep-ex,6,632,0.00949367088607595
2017,hep-lat,3,632,0.004746835443037975
2017,hep-ph,18,632,0.028481012658227847
2017,hep-th,16,632,0.02531645569620253
2017,math,143,632,0.22626582278481014
2017,math-ph,10,632,0.015822784810126583
2017,nlin,7,632,0.011075949367088608
2017,nucl-ex,3,632,0.004746835443037975
2017,nucl-th,5,632,0.007911392405063292
2017,physics,63,632,0.09968354430379747
2017,q-bio,16,632,0.02531645569620253
2017,q-fin,6,632,0.00949367088607595
2017,quant-ph,22,632,0.03481012658227848
2017,stat,26,632,0.04113924050632911
2018,astro-ph,59,738,0.07994579945799458
2018,cond-mat,79,738,0.1070460704607046
2018,cs,168,738,0.22764227642276422
2018,econ,1,738,0.0013550135501355014
2018,eess,11,738,0.014905149051490514
2018,gr-qc,11,738,0.014905149051490514
2018,hep-ex,8,738,0.01084010840108401
2018,hep-lat,4,738,0.005420054200542005
2018,hep-ph,22,738,0.02981029810298103
2018,hep-th,20,738,0.02710027100271003
2018,math,180,738,0.24390243902439024
2018,math-ph,12,738,0.016260162601626018
2018,nlin,7,738,0.009485094850948509
2018,nucl-th,3,738,0.0040650406504065045
2018,physics,74,738,0.1002710027100271
2018,q-bio,5,738,0.006775067750677507
2018,q-fin,3,738,0.0040650406504065045
2018,quant-ph,25,738,0.03387533875338753
2018,stat,46,738,0.06233062330623306
2019,astro-ph,89,1020,0.08725490196078431
2019,cond-mat,83,1020,0.08137254901960785
2019,cs,306,1020,0.3
2019,econ,3,1020,0.0029411764705882353
2019,eess,43,1020,0.04215686274509804
2019,gr-qc,18,1020,0.01764705882352941
2019,hep-ex,10,1020,0.00980392156862745
2019,hep-lat,3,1020,0.0029411764705882353
2019,hep-ph,30,1020,0.029411764705882353
